# Corrections cleared for writing. Tab separated: title, wrong, right.
#
# The harvest proposes; this file decides. Roughly half of what it proposes
# is wrong, because the local evidence cannot distinguish a name the show
# spells oddly from a name a subtitle got wrong - "Barbas" is right and the
# only Charmed subtitle carrying it says "Barbus". Everything here was
# checked against what the title actually calls these people and places.
#
# Deliberately NOT approved, as examples of what the harvest gets wrong:
#   Charmed        Barbas -> Barbus        Barbas is the demon's name
#   Sons of Anarchy Diosa -> Deosa         Diosa is the business
#   Mayday         Pitot -> Pettit         a pitot tube
#   Mayday         Nepalese -> Nepals      an ordinary word
#   The Good Doctor Anastomosis -> Anastomos   a real surgical term
#   South Park     MPAA -> Moop            MPAA is real
#   Peacemaker     Murn -> Mern            Murn is right
#   Smallville     Kel-El -> Kai-El        it is Kal-El, neither of these
#   Shameless      Fuckery -> Ficker
#   Stargate       Tok'rin -> Tok'erne     Danish leaking into English

#   Chief of War Ka'iana with the Hawaiian okina -> plain apostrophe
#   Sons of Anarchy Tiggy->Tig' would undo an approved fix
Bones 2005	Pallant	Pelant
Bones 2005	Pallant's	Pelant's
Bones 2005	Palant	Pelant
Bones 2005	Aristu	Arastoo
Bones 2005	Arastu	Arastoo
Bones 2005	Aristou	Arastoo
Bones 2005	Vizieri	Vaziri
SEAL Team 2017	Ysiri	Yasiri
SEAL Team 2017	Yassiri	Yasiri
SEAL Team 2017	Ysiri's	Yasiri's
SEAL Team 2017	Yassiri's	Yasiri's
Charmed 1998	Zanku	Zankou
Charmed 1998	Shaxx	Shax
Dexter (2006)	Dokes	Doakes
Dexter (2006)	Dokes'	Doakes'
Stargate SG-1 1997	O'Neil	O'Neill
Stargate SG-1 1997	Braytac	Bra'tac
Stargate SG-1 1997	Braytac's	Bra'tac's
Stargate SG-1 1997	Go'uld	Goa'uld
Stargate SG-1 1997	Gua'uld	Goa'uld
Stargate SG-1 1997	Kelnoreme	Kelno'reem
Stargate SG-1 1997	Mayborn	Maybourne
Stargate SG-1 1997	MELP	MALP
Stargate SG-1 1997	SG-C	SGC
Smallville 2001	Kel-El	Kal-El
Smallville 2001	Jarell	Jor-El
Smallville 2001	Feora	Faora
The Sopranos 1999	Blondetto	Blundetto
The Sopranos 1999	Sacramone	Sacrimoni
Desperate Housewives 2004	McCloskey	McCluskey
Lightyear (2022)	Zerg	Zurg
Red One (2024)	Grila	Gryla
Gladiator II (2024)	Thrax	Thraex
Grimm 2011	Juliet	Juliette
The Hunger Games - Catching Fire (2013) (2160p BluRay x265 HEVC 10bit HDR AAC 7.1 Tigole)	Beattie	Beetee
Slow Horses 2022	Gimbel	Gimball
Slow Horses 2022	Gimble	Gimball
Chicago Fire 2012	B-R-T	Brett
56 Days 2026	Burhane	Berhane
56 Days 2026	Burhane's	Berhane's
Incredibles 2 (2018)	Incredibeel	Incredible
The Pacific 2010	Leck	Leckie
The Pacific 2010	Layden	Leyden
Two and a Half Men 2003 Season 1-12 S01-S12 + Extras BDRip 1080p x265 10bit HEVC MULTi	Chels	Chelsea
Blue Mountain State - The Rise of Thadland (2016)	Olivaris	Olivares
A Goofy Movie (1995)	Mazer	Mazur
A Goofy Movie (1995)	Mazor	Mazur
Django Unchained (2012)	Conde	Candie
Nobody (2021)	Hutchie	Hutch
Orange Is the New Black 2013	Hoffler	Hoefler
Peacemaker 2022	Flagg	Flag
South Park 1997	Keeney	Kenny
South Park 1997	Hollises	Hollis
South Park 1997	Kindergartners	Kindergarteners
South Park 1997	Ferkel	Firkle
Mayday 2003	Sokratus	Sokratous
Mayday 2003	Sokratos	Sokratous
Mayday 2003	Bergland	Berglund
Mayday 2003	Sotherin	Sotheran
